time,open,high,low,close,volume,day_of_week,month,day_of_month,week_of_year,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mavg,bb_width,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_50,rolling_std_50,target,garch_vol
2014-03-26 21:00:00+00:00,1.3783,1.3797,1.37286,1.37402,68128,2,3,26,13,44.42873997891099,0.0019044159024670382,0.0038347154473849484,-0.0019302995449179102,1.3957928628472358,1.370396137152764,1.3830945,1.8362249068644132,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.35931,1.37829,0.004285078762405781,1.37988,0.003570914915443257,1.3847735714285714,0.0059468939625828155,1.3794743333333335,0.0075256644492223855,1.3716461999999998,0.01200954125617092,1.37521,0.09946459295050925
2014-03-27 21:00:00+00:00,1.37408,1.37734,1.3705,1.37521,57716,3,3,27,13,45.79835935612396,0.0012712791856077654,0.003322028195029512,-0.0020507490094217465,1.3959497816367525,1.3697322183632474,1.382841,1.895920302732209,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.36804,1.3758299999999999,0.0021869384993686725,1.3787228571428571,0.003586542970074846,1.3838828571428572,0.006395067123689162,1.3796740000000003,0.007320896685232814,1.3720676,0.011749580723739519,1.37692,0.10250261875442382
2014-03-30 21:00:00+00:00,1.37632,1.3809,1.3722,1.37692,58032,6,3,30,13,47.789673988773764,0.0008971546446423506,0.0028370534849520798,-0.0019398988403097291,1.3957117631474003,1.3703122368526,1.3830120000000001,1.8365369421812938,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.36922,1.3753833333333334,0.0014577494069125516,1.3785857142857143,0.0036420683553119795,1.3832400000000002,0.006622834624354234,1.3798826666666668,0.0071421439519149706,1.3725022000000002,0.011512041839140447,1.37921,0.10555521297632714
2014-03-31 21:00:00+00:00,1.37712,1.38156,1.3769,1.37921,51885,0,3,31,14,50.41682961621351,0.0007764912049155193,0.002424941028944768,-0.0016484498240292487,1.3954362333988901,1.3710967666011098,1.3832665,1.759564537837092,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.37066,1.3771133333333332,0.0020069960969954677,1.3785842857142858,0.003641780046181391,1.3824407142857142,0.006362368287028618,1.3799940000000002,0.007103363749077933,1.372964,0.011302684709070263,1.37679,0.10834581053342535
2014-04-01 21:00:00+00:00,1.37926,1.38206,1.37533,1.37679,49618,1,4,1,14,47.686057971401084,0.0004800569862701831,0.002035964220409851,-0.0015559072341396678,1.3951269345852564,1.3717530654147432,1.3834399999999998,1.6895470111109416,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.37587,1.3776400000000002,0.0013612126946300907,1.3775714285714287,0.002815702568167535,1.381712857142857,0.006385952646927392,1.3801103333333335,0.007018019901177507,1.373405,0.011003323662996136,1.372,0.11090948635010825
2014-04-02 21:00:00+00:00,1.37673,1.38071,1.36982,1.372,85439,2,4,2,14,42.75030005754065,-0.00013977104242623994,0.0016008171678426328,-0.0017405882102688728,1.3953688732672422,1.370111126732758,1.38274,1.8266446717737472,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3733,1.3760000000000001,0.0036693459907757454,1.3760585714285714,0.0024967540832823696,1.380347142857143,0.006262697168487748,1.3801176666666668,0.007009124439064338,1.3734532000000002,0.010991543213037889,1.37048,0.1129929206022847
2014-04-03 21:00:00+00:00,1.37204,1.37316,1.36728,1.37048,76250,3,4,3,14,41.28981173563909,-0.0007450520216909506,0.0011316433299359164,-0.001876695351626867,1.3953380411405898,1.3684059588594102,1.381872,1.948956363626993,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.37178,1.3730900000000001,0.0032931899429008643,1.374947142857143,0.003028474391977783,1.3787957142857141,0.005771622507894665,1.3800026666666667,0.007141205313763475,1.3735060000000001,0.010970349277270244,1.37418,0.11477493270687336
2014-04-06 21:00:00+00:00,1.36983,1.37486,1.36964,1.37418,46096,6,4,6,14,46.11556460439862,-0.0009156276946569175,0.0007221891250173497,-0.001637816819674267,1.3947837054137513,1.3676102945862487,1.381197,1.9673812517332845,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.37393,1.3722200000000002,0.0018597849338092217,1.3749699999999998,0.003020904941681333,1.3774250000000001,0.004072819378798826,1.380026,0.007120271013826314,1.373643,0.010934361164769995,1.37972,0.11657299113240803
2014-04-07 21:00:00+00:00,1.37418,1.38118,1.37374,1.37972,57724,0,4,7,15,52.42157125071259,-0.0005968977780956841,0.00045837174439474296,-0.001055269522490427,1.3943104542499334,1.3674635457500666,1.380887,1.9441785243735958,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.37348,1.3747933333333335,0.004650433671536023,1.375614285714286,0.0035202834030944354,1.3771685714285715,0.0037759906639870467,1.3802013333333332,0.007042826006718447,1.3738958,0.010925642948437049,1.38548,0.11848681798759927
2014-04-08 21:00:00+00:00,1.37966,1.38624,1.378,1.38548,63475,1,4,8,15,57.93373872902786,0.00011910882636789744,0.0003905191607893739,-0.00027141033442147644,1.393527689101552,1.3677543108984485,1.3806410000000002,1.8667690010005167,1.37972,1.37418,1.37048,1.372,1.37679,1.37921,1.37692,1.37521,1.37402,1.37826,1.38259,1.38388,1.37922,1.37788,1.38331,1.39337,1.3922,1.39112,1.38698,1.3904,1.38592,1.38768,1.38784,1.386,1.37332,1.37412,1.3735,1.38028,1.37098,1.36866,1.37446,1.3797933333333334,0.005650356920881388,1.3768371428571429,0.005156131347841614,1.3777114285714287,0.004383565210653872,1.380762,0.006756024335922404,1.3742802,0.010989432863121675,1.3886,0.12033236088968984
